holdout_season,model_name,log_loss_baseline,log_loss_latest,log_loss_delta,brier_score_baseline,brier_score_latest,brier_score_delta,accuracy_baseline,accuracy_latest,accuracy_delta
2022,elo,0.68667794850438,0.68667794850438,0.0,0.2456211884371161,0.2456211884371161,0.0,0.5810699588477366,0.5810699588477366,0.0
2022,logistic,0.6897259299912535,0.692180655136408,0.002454725145154546,0.2472675764936844,0.2484015494162132,0.0011339729225288142,0.5699588477366255,0.5707818930041152,0.0008230452674896638
2022,random_forest,0.6764239327966582,0.6771440527179027,0.0007201199212444331,0.2417167366277901,0.2420689179462178,0.0003521813184276801,0.5794238683127572,0.582716049382716,0.003292181069958877
2023,elo,0.6959319352632617,0.6959319352632617,0.0,0.2506384718533004,0.2506384718533004,0.0,0.5489711934156378,0.5489711934156378,0.0
2023,logistic,0.686816424160697,0.6890999707371444,0.0022835465764473595,0.2459505016894683,0.2469085650021096,0.000958063312641283,0.5683127572016461,0.5740740740740741,0.0057613168724279795
2023,random_forest,0.6820441735944001,0.6812894581259104,-0.0007547154684897084,0.2445182089145304,0.2441452100600413,-0.00037299885448910386,0.557201646090535,0.554320987654321,-0.0028806584362139898
2024,elo,0.69670822968179,0.69670822968179,0.0,0.2511554272048977,0.2511554272048977,0.0,0.546315356113627,0.546315356113627,0.0
2024,logistic,0.6882323862776486,0.6865979906937874,-0.0016343955838612478,0.2466892392571075,0.2458056176645605,-0.0008836215925470126,0.5574310415808975,0.5619596541786743,0.0045286125977768155
2024,random_forest,0.6801408252380905,0.6790328706146467,-0.0011079546234438187,0.243574842458688,0.2430243173934913,-0.0005505250651966775,0.5677233429394812,0.5693701111568547,0.0016467682173734177
2025,elo,0.6905878369459315,0.6905878369459315,0.0,0.2483176699208112,0.2483176699208112,0.0,0.5617283950617284,0.5617283950617284,0.0
2025,logistic,0.6843468530464409,0.6824811517737805,-0.0018657012726603917,0.2450929714599072,0.2442877080809745,-0.0008052633789326913,0.5555555555555556,0.5617283950617284,0.006172839506172867
2025,random_forest,0.6801441055551056,0.680304463237207,0.00016035768210131973,0.2436172848571629,0.2436698165406616,5.2531683498696635e-05,0.5502057613168724,0.5584362139917696,0.008230452674897193
