variant,model_name,mean_log_loss_delta_vs_baseline,log_loss_win_rate_vs_baseline,mean_accuracy_delta_vs_baseline
full,random_forest_shallow,-0.0022074402008841624,0.8,0.013145982362730405
no_env,random_forest_shallow,-0.0020330385929530365,0.7333333333333333,0.014268184356516134
no_env,extra_trees,-0.001662826783698416,0.7333333333333333,0.012068012403075904
full,extra_trees,-0.0006731778024924602,0.6,0.011955927497393841
full,random_forest,-0.0006270901741627958,0.5333333333333333,0.006939324744374694
no_env,random_forest,-0.000262232859554475,0.4666666666666667,0.006747082859616346
no_public_proxy,random_forest_shallow,-0.0001895427510402318,0.5333333333333333,-0.0014174336580811686
baseline_like,random_forest_shallow,0.0,0.0,0.0
baseline_like,extra_trees,0.0017526449350037923,0.06666666666666667,-0.006193491368361234
baseline_like,random_forest,0.0018027397751092151,0.2,-0.003287809566674508
no_public_proxy,random_forest,0.0019397534386848955,0.13333333333333333,-0.010172269138450311
no_public_proxy,extra_trees,0.002331004033774494,0.06666666666666667,-0.003137470392258431
