variant,model_name,mean_log_loss,std_log_loss,mean_brier_score,mean_accuracy,mean_accuracy_conf_60,mean_coverage_conf_60,mean_feature_count
full,random_forest_shallow,0.6856274349003435,0.0037979559372928245,0.24629308316234838,0.547161235519349,0.6333243521963124,0.11415169746597092,162.6
no_env,random_forest_shallow,0.6858018365082745,0.003945702697880099,0.24637728239416629,0.5482834375131347,0.6197348510084572,0.11641081509183762,140.0
no_env,extra_trees,0.6861720483175292,0.003931358611639958,0.24654452402236973,0.5460832655596946,0.634228269010379,0.054957705819834016,140.0
full,extra_trees,0.6871616972987352,0.004245766905798916,0.24703208666935714,0.5459711806540124,0.6088877616163201,0.05050034406883146,162.6
full,random_forest,0.6872077849270648,0.0034933672750544925,0.24704676147571947,0.5409545779009933,0.5845737176971407,0.1526553479356876,162.6
no_env,random_forest,0.6875726422416731,0.0033729361230018366,0.2472289709910344,0.5407623360162349,0.6155508925762396,0.1566564045536541,140.0
no_public_proxy,random_forest_shallow,0.6876453323501874,0.002927947309126001,0.2472861131916508,0.5325978194985375,0.6649431452486095,0.07404638033618896,113.6
baseline_like,random_forest_shallow,0.6878348751012276,0.0030775662935296775,0.2473785974886833,0.5340152531566187,0.6566192202438607,0.08214867108490001,91.0
baseline_like,extra_trees,0.6895875200362315,0.0037489637757111326,0.24823423866967945,0.5278217617882573,0.635186984938903,0.01753227762128021,91.0
baseline_like,random_forest,0.6896376148763369,0.004783225482410755,0.248254419801786,0.5307274435899442,0.6488753671113948,0.12424208002220592,91.0
no_public_proxy,random_forest,0.6897746285399126,0.004354122154446686,0.24833118478313695,0.5238429840181683,0.6417095550582058,0.1125480069300812,113.6
no_public_proxy,extra_trees,0.690165879135002,0.0034078045939372075,0.248513883639951,0.5308777827643602,0.6489925233948005,0.019741972954944287,113.6
