season,band,agree_only,n,accuracy
2022,0.53,False,1744,0.5974770642201835
2022,0.53,True,516,0.6085271317829457
2022,0.55,False,1304,0.6127300613496932
2022,0.55,True,391,0.6112531969309463
2022,0.57,False,958,0.6304801670146137
2022,0.57,True,304,0.6217105263157895
2022,0.6,False,555,0.6360360360360361
2022,0.6,True,184,0.6195652173913043
2023,0.53,False,1726,0.578215527230591
2023,0.53,True,533,0.5797373358348968
2023,0.55,False,1301,0.5949269792467333
2023,0.55,True,418,0.6004784688995215
2023,0.57,False,955,0.6209424083769634
2023,0.57,True,322,0.5993788819875776
2023,0.6,False,522,0.6340996168582376
2023,0.6,True,186,0.6290322580645161
2024,0.53,False,1625,0.5809230769230769
2024,0.53,True,493,0.6085192697768763
2024,0.55,False,1197,0.6056808688387636
2024,0.55,True,387,0.6201550387596899
2024,0.57,False,849,0.6183745583038869
2024,0.57,True,291,0.6426116838487973
2024,0.6,False,424,0.6297169811320755
2024,0.6,True,157,0.643312101910828
2025,0.53,False,1670,0.5694610778443113
2025,0.53,True,490,0.5673469387755102
2025,0.55,False,1230,0.5926829268292683
2025,0.55,True,370,0.6054054054054054
2025,0.57,False,839,0.6221692491060786
2025,0.57,True,255,0.6392156862745098
2025,0.6,False,449,0.6525612472160356
2025,0.6,True,150,0.6866666666666666
