rule_name,model_name,rule,games,picks,hits,accuracy,coverage,avg_confidence
model:random_forest,random_forest,pass,4854,0,0.0,,0.49943409815824674,0.523718434947638
model:random_forest,random_forest,lean,3055,3055,1760.0,0.5761047463175123,0.31433275028295093,0.5723852835014517
model:random_forest,random_forest,strong,1810,1810,1177.0,0.6502762430939226,0.18623315155880235,0.6336372170859171
model:random_forest,random_forest,actionable,4865,4865,2937.0,0.6036998972250771,0.5005659018417533,0.5951737726664841
model:random_forest_shallow,random_forest_shallow,pass,5443,0,0.0,,0.5600370408478238,0.5237036382094798
model:random_forest_shallow,random_forest_shallow,lean,3003,3003,1754.0,0.5840825840825841,0.3089824055972837,0.5718439578066291
model:random_forest_shallow,random_forest_shallow,strong,1273,1273,853.0,0.6700706991358995,0.13098055355489246,0.6251385488140954
model:random_forest_shallow,random_forest_shallow,actionable,4276,4276,2607.0,0.6096819457436857,0.43996295915217615,0.587710191284764
model:soft_voting,soft_voting,pass,4845,0,0.0,,0.4985080769626505,0.5237149491005347
model:soft_voting,soft_voting,lean,3152,3152,1843.0,0.5847081218274112,0.32431320094659943,0.5721289177980343
model:soft_voting,soft_voting,strong,1722,1722,1134.0,0.6585365853658537,0.17717872209075008,0.6294431006322693
model:soft_voting,soft_voting,actionable,4874,4874,2977.0,0.6107919573245794,0.5014919230373496,0.5923782043882174
agreement,random_forest,pass,4930,0,0.0,,0.5072538326988373,0.5243146111602003
agreement,random_forest,lean,2981,2981,1718.0,0.5763166722576316,0.3067187982302706,0.5726684047649878
agreement,random_forest,strong,1808,1808,1175.0,0.6498893805309734,0.18602736907089207,0.6336582630719378
agreement,random_forest,actionable,4789,4789,2893.0,0.6040927124660681,0.49274616730116266,0.5956940184252437
