variant,bucket,n_total,n_scored,n_hits,accuracy
raw_pred_total,pass,3058,2943,1449,0.4923547400611621
raw_pred_total,lean,3956,3823,1977,0.5171331415119016
raw_pred_total,strong,1923,1858,1084,0.5834230355220668
raw_pred_total,actionable,5879,5681,3061,0.5388135891568386
calibrated_pred_total,pass,3103,3004,1541,0.512982689747004
calibrated_pred_total,lean,4116,3961,2049,0.5172936127240596
calibrated_pred_total,strong,1718,1659,948,0.5714285714285714
calibrated_pred_total,actionable,5834,5620,2997,0.5332740213523132
quantile_p50,pass,2941,2837,1454,0.512513218188227
quantile_p50,lean,4008,3861,2037,0.5275835275835276
quantile_p50,strong,1988,1926,1103,0.5726895119418484
quantile_p50,actionable,5996,5787,3140,0.5425954726110247
