bin,n_games,predicted_home_win_rate,actual_home_win_rate,calibration_error
"(-0.001, 0.1]",2,0.09368454082803503,0.5,-0.406315459171965
"(0.1, 0.2]",11,0.15877922164416428,0.2727272727272727,-0.11394805108310843
"(0.2, 0.3]",29,0.26219163297601716,0.41379310344827586,-0.1516014704722587
"(0.3, 0.4]",164,0.36056244561758877,0.38414634146341464,-0.023583895845825875
"(0.4, 0.5]",713,0.45776047744266873,0.4726507713884993,-0.01489029394583058
"(0.5, 0.6]",976,0.5480001616953152,0.5450819672131147,0.0029181944822004313
"(0.6, 0.7]",444,0.6395529787240221,0.5855855855855856,0.05396739313843646
"(0.7, 0.8]",72,0.7353743183006334,0.6527777777777778,0.08259654052285559
"(0.8, 0.9]",13,0.8328427158269989,0.7692307692307693,0.0636119465962296
"(0.9, 1.0]",5,0.9571031208696645,0.4,0.5571031208696645
