variant,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,full_log_loss,full_brier_score,full_accuracy,log_loss_delta_vs_full,accuracy_delta_vs_full
full,2022,160,random_forest,0.6778683291283254,0.2424381667102903,0.5761316872427984,2430.0,0.6110671936758894,0.5205761316872428,0.6528066528066528,0.1979423868312757,0.6694915254237288,0.048559670781893,0.6778683291283254,0.2424381667102903,0.5761316872427984,0.0,0.0
full,2023,162,random_forest,0.6817111390981749,0.2443657294139352,0.5621399176954732,2430.0,0.583941605839416,0.5074074074074074,0.639412997903564,0.1962962962962963,0.75,0.04609053497942387,0.6817111390981749,0.2443657294139352,0.5621399176954732,0.0,0.0
full,2024,162,random_forest,0.67892740117507,0.24295837497083775,0.5726636475916015,2429.0,0.6173913043478261,0.4734458624948539,0.6577017114914425,0.16838205022643063,0.6593406593406593,0.037463976945244955,0.67892740117507,0.24295837497083775,0.5726636475916015,0.0,0.0
full,2025,162,random_forest,0.679730691481685,0.2434048124683492,0.5584362139917696,2430.0,0.6031224322103533,0.5008230452674897,0.6523702031602708,0.18230452674897119,0.7232142857142857,0.04609053497942387,0.679730691481685,0.2434048124683492,0.5584362139917696,0.0,0.0
without_low_stability,2022,141,random_forest,0.6776916676366354,0.24234335218471734,0.5732510288065844,2430.0,0.6174863387978142,0.5271604938271605,0.6681127982646421,0.1897119341563786,0.6373626373626373,0.037448559670781895,0.6778683291283254,0.2424381667102903,0.5761316872427984,-0.00017666149169004441,-0.0028806584362139898
without_low_stability,2023,143,random_forest,0.6819593494234752,0.24446219642477876,0.5650205761316872,2430.0,0.5954962468723937,0.4934156378600823,0.6565420560747663,0.17613168724279835,0.7011494252873564,0.03580246913580247,0.6817111390981749,0.2443657294139352,0.5621399176954732,0.00024821032530031317,0.0028806584362139898
without_low_stability,2024,143,random_forest,0.6779260444025748,0.24247110237245745,0.5689584191025113,2429.0,0.6231884057971014,0.48291477974475094,0.6666666666666666,0.16055990119390695,0.6309523809523809,0.0345821325648415,0.67892740117507,0.24295837497083775,0.5726636475916015,-0.0010013567724952432,-0.003705228489090162
without_low_stability,2025,143,random_forest,0.6805067425997853,0.2437875295709323,0.5567901234567901,2430.0,0.5970873786407767,0.508641975308642,0.6768558951965066,0.18847736625514402,0.7685185185185185,0.044444444444444446,0.679730691481685,0.2434048124683492,0.5584362139917696,0.0007760511181003071,-0.0016460905349794386
without_stable,2022,147,random_forest,0.6822395108268633,0.24457435967233626,0.5633744855967078,2430.0,0.5947452229299363,0.516872427983539,0.6244343891402715,0.18189300411522633,0.6486486486486487,0.030452674897119343,0.6778683291283254,0.2424381667102903,0.5761316872427984,0.004371181698537896,-0.012757201646090621
without_stable,2023,149,random_forest,0.6847617518434722,0.2458492200176638,0.5559670781893004,2430.0,0.5748598879103283,0.5139917695473251,0.6178343949044586,0.19382716049382717,0.7204301075268817,0.03827160493827161,0.6817111390981749,0.2443657294139352,0.5621399176954732,0.0030506127452972764,-0.006172839506172867
without_stable,2024,149,random_forest,0.6832386933003156,0.24510444421956554,0.5566076574722107,2429.0,0.5989159891598916,0.4557431041580898,0.6322188449848024,0.13544668587896252,0.7121212121212122,0.027171675586661177,0.67892740117507,0.24295837497083775,0.5726636475916015,0.004311292125245614,-0.01605599011939074
without_stable,2025,149,random_forest,0.6829910510022381,0.24499272851550558,0.5613168724279836,2430.0,0.5858490566037736,0.43621399176954734,0.6514657980456026,0.12633744855967077,0.8108108108108109,0.015226337448559672,0.679730691481685,0.2434048124683492,0.5584362139917696,0.0032603595205531466,0.0028806584362139898
stable_only,2022,13,random_forest,0.6801579291417,0.24355042243785696,0.5637860082304527,2430.0,0.5995717344753747,0.5765432098765432,0.6269956458635704,0.28353909465020577,0.6891891891891891,0.09135802469135802,0.6778683291283254,0.2424381667102903,0.5761316872427984,0.0022896000133746375,-0.012345679012345734
stable_only,2023,13,random_forest,0.6902477363193718,0.24848380329212857,0.5390946502057613,2430.0,0.5670250896057347,0.5740740740740741,0.5838815789473685,0.25020576131687244,0.5851063829787234,0.07736625514403292,0.6817111390981749,0.2443657294139352,0.5621399176954732,0.008536597221196818,-0.023045267489711918
stable_only,2024,13,random_forest,0.6856470684047954,0.24618036303903942,0.5549608892548373,2429.0,0.5795531482735274,0.6080691642651297,0.5921696574225123,0.2523672293124743,0.609375,0.07904487443392343,0.67892740117507,0.24295837497083775,0.5726636475916015,0.00671966722972539,-0.017702758336764157
stable_only,2025,13,random_forest,0.6859099761874805,0.24640350948340228,0.5530864197530864,2430.0,0.5742642026009582,0.6012345679012345,0.6029411764705882,0.27983539094650206,0.6448979591836734,0.10082304526748971,0.679730691481685,0.2434048124683492,0.5584362139917696,0.00617928470579554,-0.005349794238683203
