model_name,mean_log_loss,mean_brier_score,mean_accuracy,mean_accuracy_conf_60,mean_coverage_conf_60
soft_voting,0.678281869605523,0.24266193089185284,0.5677532456751156,0.660670107807976,0.17717400511989048
random_forest,0.6795593902208139,0.2432917708908531,0.5673428666304107,0.6505728913404826,0.18623131502574347
catboost_shallow,0.6800935851307575,0.24353662289707395,0.5630202271252543,0.631409372111648,0.284594457913382
random_forest_shallow,0.6803000921931323,0.24364848287444146,0.5652847451998909,0.6722572308872619,0.13097809052820258
catboost_lr02,0.6807602761110915,0.2438174855756917,0.564770214842261,0.6255449230850502,0.31700453369521575
booster_stacking,0.68109603014828,0.24403933501334676,0.5679597270295317,0.6338194400544892,0.18582398555181134
catboost_l2,0.6815656214483563,0.2441832922742199,0.5633291655866104,0.6187639159249874,0.3304841024181402
extra_trees,0.681978137219813,0.2444666233915698,0.5590083049977382,0.6780748432012911,0.07088955979445893
catboost,0.6836607490479759,0.24513242171991168,0.563123277204289,0.6099663640492655,0.3720494132117571
booster_voting,0.6883333941393858,0.24718262425786802,0.5558183692589712,0.6073644230714723,0.4296678339745903
hist_gradient_boosting,0.6926315175587131,0.24910071892523994,0.5518064047763055,0.5996478527005218,0.412999430746789
xgboost,0.6938648906404321,0.24933137293826246,0.5625065015154672,0.5963011460517674,0.48286293704161143
lightgbm,0.720478822490688,0.2588535908009233,0.5528344066128248,0.5775273930662512,0.5764931884448374
