season,table,rows,columns,path
2024,batting_season,56,19,data\standardized\kbo\2024\mykbo_standardized\batting_season.csv
2024,foreign_players_raw,45,27,data\standardized\kbo\2024\mykbo_standardized\foreign_players_raw.csv
2024,league_summary,6,3,data\standardized\kbo\2024\mykbo_standardized\league_summary.csv
2024,park_splits_raw,14,113,data\standardized\kbo\2024\mykbo_standardized\park_splits_raw.csv
2024,pitching_season,20,16,data\standardized\kbo\2024\mykbo_standardized\pitching_season.csv
2024,team_splits,110,26,data\standardized\kbo\2024\mykbo_standardized\team_splits.csv
2025,batting_season,43,19,data\standardized\kbo\2025\mykbo_standardized\batting_season.csv
2025,foreign_players_raw,47,27,data\standardized\kbo\2025\mykbo_standardized\foreign_players_raw.csv
2025,league_summary,6,3,data\standardized\kbo\2025\mykbo_standardized\league_summary.csv
2025,park_splits_raw,16,113,data\standardized\kbo\2025\mykbo_standardized\park_splits_raw.csv
2025,pitching_season,22,16,data\standardized\kbo\2025\mykbo_standardized\pitching_season.csv
2025,team_splits,110,26,data\standardized\kbo\2025\mykbo_standardized\team_splits.csv
2026,batting_season,50,19,data\standardized\kbo\2026\mykbo_standardized\batting_season.csv
2026,foreign_players_raw,49,27,data\standardized\kbo\2026\mykbo_standardized\foreign_players_raw.csv
2026,league_summary,6,3,data\standardized\kbo\2026\mykbo_standardized\league_summary.csv
2026,park_splits_raw,12,63,data\standardized\kbo\2026\mykbo_standardized\park_splits_raw.csv
2026,pitching_season,23,16,data\standardized\kbo\2026\mykbo_standardized\pitching_season.csv
2026,team_splits,70,26,data\standardized\kbo\2026\mykbo_standardized\team_splits.csv
